city,year,weekofyear,total_cases
sj,2008,18,32
sj,2008,19,31
sj,2008,20,28
sj,2008,21,28
sj,2008,22,28
sj,2008,23,32
sj,2008,24,30
sj,2008,25,29
sj,2008,26,30
sj,2008,27,30
sj,2008,28,31
sj,2008,29,28
sj,2008,30,30
sj,2008,31,29
sj,2008,32,36
sj,2008,33,29
sj,2008,34,41
sj,2008,35,33
sj,2008,36,37
sj,2008,37,39
sj,2008,38,33
sj,2008,39,64
sj,2008,40,35
sj,2008,41,31
sj,2008,42,35
sj,2008,43,32
sj,2008,44,29
sj,2008,45,39
sj,2008,46,31
sj,2008,47,37
sj,2008,48,33
sj,2008,49,28
sj,2008,50,29
sj,2008,51,32
sj,2008,52,31
sj,2009,1,31
sj,2009,2,28
sj,2009,3,29
sj,2009,4,33
sj,2009,5,31
sj,2009,6,30
sj,2009,7,34
sj,2009,8,33
sj,2009,9,28
sj,2009,10,28
sj,2009,11,34
sj,2009,12,29
sj,2009,13,32
sj,2009,14,29
sj,2009,15,28
sj,2009,16,27
sj,2009,17,28
sj,2009,18,29
sj,2009,19,30
sj,2009,20,33
sj,2009,21,41
sj,2009,22,31
sj,2009,23,28
sj,2009,24,32
sj,2009,25,29
sj,2009,26,29
sj,2009,27,28
sj,2009,28,29
sj,2009,29,30
sj,2009,30,33
sj,2009,31,32
sj,2009,32,31
sj,2009,33,31
sj,2009,34,37
sj,2009,35,34
sj,2009,36,29
sj,2009,37,37
sj,2009,38,29
sj,2009,39,32
sj,2009,40,30
sj,2009,41,33
sj,2009,42,35
sj,2009,43,31
sj,2009,44,30
sj,2009,45,29
sj,2009,46,35
sj,2009,47,31
sj,2009,48,30
sj,2009,49,28
sj,2009,50,29
sj,2009,51,31
sj,2009,52,28
sj,2010,53,28
sj,2010,1,31
sj,2010,2,30
sj,2010,3,39
sj,2010,4,29
sj,2010,5,29
sj,2010,6,27
sj,2010,7,28
sj,2010,8,33
sj,2010,9,30
sj,2010,10,36
sj,2010,11,32
sj,2010,12,28
sj,2010,13,28
sj,2010,14,29
sj,2010,15,30
sj,2010,16,37
sj,2010,17,33
sj,2010,18,32
sj,2010,19,30
sj,2010,20,36
sj,2010,21,30
sj,2010,22,81
sj,2010,23,29
sj,2010,24,30
sj,2010,25,45
sj,2010,26,34
sj,2010,27,33
sj,2010,28,32
sj,2010,29,51
sj,2010,30,35
sj,2010,31,31
sj,2010,32,35
sj,2010,33,35
sj,2010,34,34
sj,2010,35,47
sj,2010,36,33
sj,2010,37,39
sj,2010,38,33
sj,2010,39,33
sj,2010,40,34
sj,2010,41,35
sj,2010,42,30
sj,2010,43,28
sj,2010,44,39
sj,2010,45,58
sj,2010,46,34
sj,2010,47,31
sj,2010,48,31
sj,2010,49,28
sj,2010,50,29
sj,2010,51,33
sj,2011,52,29
sj,2011,1,33
sj,2011,2,28
sj,2011,3,29
sj,2011,4,27
sj,2011,5,28
sj,2011,6,28
sj,2011,7,28
sj,2011,8,32
sj,2011,9,27
sj,2011,10,28
sj,2011,11,28
sj,2011,12,30
sj,2011,13,30
sj,2011,14,29
sj,2011,15,28
sj,2011,16,30
sj,2011,17,28
sj,2011,18,33
sj,2011,19,29
sj,2011,20,179
sj,2011,21,153
sj,2011,22,33
sj,2011,23,35
sj,2011,24,98
sj,2011,25,30
sj,2011,26,30
sj,2011,27,33
sj,2011,28,31
sj,2011,29,29
sj,2011,30,33
sj,2011,31,36
sj,2011,32,32
sj,2011,33,29
sj,2011,34,48
sj,2011,35,28
sj,2011,36,29
sj,2011,37,34
sj,2011,38,30
sj,2011,39,32
sj,2011,40,28
sj,2011,41,28
sj,2011,42,29
sj,2011,43,29
sj,2011,44,29
sj,2011,45,28
sj,2011,46,32
sj,2011,47,40
sj,2011,48,32
sj,2011,49,28
sj,2011,50,43
sj,2011,51,28
sj,2012,52,29
sj,2012,1,28
sj,2012,2,29
sj,2012,3,28
sj,2012,4,30
sj,2012,5,29
sj,2012,6,29
sj,2012,7,28
sj,2012,8,32
sj,2012,9,28
sj,2012,10,29
sj,2012,11,30
sj,2012,12,28
sj,2012,13,43
sj,2012,14,34
sj,2012,15,29
sj,2012,16,37
sj,2012,17,28
sj,2012,18,30
sj,2012,19,32
sj,2012,20,28
sj,2012,21,30
sj,2012,22,28
sj,2012,23,27
sj,2012,24,27
sj,2012,25,28
sj,2012,26,28
sj,2012,27,30
sj,2012,28,31
sj,2012,29,28
sj,2012,30,31
sj,2012,31,30
sj,2012,32,38
sj,2012,33,30
sj,2012,34,29
sj,2012,35,39
sj,2012,36,28
sj,2012,37,28
sj,2012,38,28
sj,2012,39,28
sj,2012,40,28
sj,2012,41,30
sj,2012,42,36
sj,2012,43,29
sj,2012,44,28
sj,2012,45,29
sj,2012,46,37
sj,2012,47,30
sj,2012,48,31
sj,2012,49,30
sj,2012,50,31
sj,2012,51,29
sj,2013,1,30
sj,2013,2,28
sj,2013,3,29
sj,2013,4,29
sj,2013,5,29
sj,2013,6,30
sj,2013,7,29
sj,2013,8,27
sj,2013,9,28
sj,2013,10,28
sj,2013,11,30
sj,2013,12,28
sj,2013,13,28
sj,2013,14,41
sj,2013,15,28
sj,2013,16,28
sj,2013,17,31
iq,2010,26,6
iq,2010,27,6
iq,2010,28,7
iq,2010,29,6
iq,2010,30,6
iq,2010,31,6
iq,2010,32,6
iq,2010,33,6
iq,2010,34,6
iq,2010,35,7
iq,2010,36,7
iq,2010,37,6
iq,2010,38,10
iq,2010,39,6
iq,2010,40,15
iq,2010,41,6
iq,2010,42,10
iq,2010,43,7
iq,2010,44,8
iq,2010,45,14
iq,2010,46,10
iq,2010,47,7
iq,2010,48,7
iq,2010,49,9
iq,2010,50,6
iq,2010,51,6
iq,2011,52,14
iq,2011,1,7
iq,2011,2,10
iq,2011,3,6
iq,2011,4,6
iq,2011,5,8
iq,2011,6,7
iq,2011,7,17
iq,2011,8,7
iq,2011,9,9
iq,2011,10,8
iq,2011,11,7
iq,2011,12,7
iq,2011,13,7
iq,2011,14,8
iq,2011,15,8
iq,2011,16,8
iq,2011,17,8
iq,2011,18,8
iq,2011,19,7
iq,2011,20,7
iq,2011,21,6
iq,2011,22,6
iq,2011,23,6
iq,2011,24,11
iq,2011,25,7
iq,2011,26,7
iq,2011,27,7
iq,2011,28,6
iq,2011,29,6
iq,2011,30,6
iq,2011,31,6
iq,2011,32,8
iq,2011,33,6
iq,2011,34,6
iq,2011,35,6
iq,2011,36,6
iq,2011,37,7
iq,2011,38,9
iq,2011,39,8
iq,2011,40,7
iq,2011,41,7
iq,2011,42,6
iq,2011,43,9
iq,2011,44,7
iq,2011,45,7
iq,2011,46,15
iq,2011,47,7
iq,2011,48,6
iq,2011,49,7
iq,2011,50,8
iq,2011,51,11
iq,2012,52,9
iq,2012,1,10
iq,2012,2,9
iq,2012,3,8
iq,2012,4,7
iq,2012,5,7
iq,2012,6,15
iq,2012,7,8
iq,2012,8,7
iq,2012,9,7
iq,2012,10,9
iq,2012,11,8
iq,2012,12,9
iq,2012,13,7
iq,2012,14,10
iq,2012,15,9
iq,2012,16,9
iq,2012,17,8
iq,2012,18,7
iq,2012,19,6
iq,2012,20,7
iq,2012,21,7
iq,2012,22,6
iq,2012,23,6
iq,2012,24,6
iq,2012,25,6
iq,2012,26,12
iq,2012,27,6
iq,2012,28,7
iq,2012,29,10
iq,2012,30,6
iq,2012,31,6
iq,2012,32,6
iq,2012,33,6
iq,2012,34,8
iq,2012,35,6
iq,2012,36,6
iq,2012,37,6
iq,2012,38,6
iq,2012,39,7
iq,2012,40,6
iq,2012,41,7
iq,2012,42,6
iq,2012,43,7
iq,2012,44,7
iq,2012,45,6
iq,2012,46,7
iq,2012,47,9
iq,2012,48,8
iq,2012,49,6
iq,2012,50,8
iq,2012,51,7
iq,2013,1,7
iq,2013,2,7
iq,2013,3,7
iq,2013,4,7
iq,2013,5,8
iq,2013,6,8
iq,2013,7,12
iq,2013,8,10
iq,2013,9,7
iq,2013,10,7
iq,2013,11,8
iq,2013,12,9
iq,2013,13,8
iq,2013,14,9
iq,2013,15,7
iq,2013,16,9
iq,2013,17,7
iq,2013,18,6
iq,2013,19,7
iq,2013,20,8
iq,2013,21,9
iq,2013,22,7
iq,2013,23,7
iq,2013,24,7
iq,2013,25,6
iq,2013,26,6
